ET,ALIM,BARRA,TRAFO,SCADA
25 DE mayo,25 DE mayo,BARRA 1,TRAFO 1,REZ1CNFRZM0964
AGRELO,CHANDON,BARRA 1,TRAFO 1,AGR1CNFRJM0428
AGRELO,ENTEL,BARRA 1,TRAFO 1,AGR1CNFRJM0429
AGRELO,ETCHART,BARRA 1,TRAFO 1,AGR1CNFRJM0435
AGRELO,LAS TERRAZAS,BARRA 1,TRAFO 1,AGR1CNFRJM0670
AGRELO,LAZARO,BARRA 1,TRAFO 1,AGR1CNFRJM0431
AGRELO,NORTON,BARRA 1,TRAFO 1,AGR1CNFRJM0679
ALVAREZ CONDARCO,A USPALLATA DE CACHEUTA,BARRA 1,TRAFO 1,ACO1CNFRJM1331
ALVAREZ CONDARCO,BLANCO ENCALADA,BARRA 1,TRAFO 1,ACO1CNFRJM0457
ALVAREZ CONDARCO,POTRERILLOS,BARRA 1,TRAFO 1,ACO1CNFRJM0462
ANCHORIS,ANCHORIS,BARRA 1,TRAFO 1,ANC1CNFRJM0383
ANCHORIS,CALLE 6,BARRA 1,TRAFO 1,ANC1CNFRJM0385
ANCHORIS,COLONIA CANO,BARRA 1,TRAFO 1,ANC1CNFRJM0386
ANCHORIS,MATTAR,BARRA 1,TRAFO 1,ANC1CNFRJM0387
ANCHORIS,RIPIERA,BARRA 1,TRAFO 1,ANC1CNFRJM0388
ARGENTINA,ASTRA LA VENTANA 1,BARRA 2 33 KV,TRAFO 1-2-3-4,ARG2CNFRJM0532
ARGENTINA,ASTRA LA VENTANA 2,BARRA 2 33 KV,TRAFO 1-2-3-4,ARG2CNFRJM0531
ARGENTINA,EL BOSQUE,BARRA 1,TRAFO 5,ARG1CNFRJM0362
ARGENTINA,ITATI,BARRA 1,TRAFO 5,ARG1CNFRJM0366
ARGENTINA,PINCOLINI,BARRA 1,TRAFO 5,ARG1CNFRJM0364
BOULOGNE SUR MER,A CAMARA 2 VIALIDAD,VIALIDAD,NA,VIA1CNFRMM0411
BOULOGNE SUR MER,ALIMENTADOR 1 A VIALIDAD,BARRA 2,TRAFO 2,BSM1CNFRHM0486
BOULOGNE SUR MER,ALIMENTADOR 2 A VIALIDAD,BARRA 2,TRAFO 2,BSM1CNFRHM0487
BOULOGNE SUR MER,ALIMENTADOR 3 A VIALIDAD,BARRA 2,TRAFO 2,BSM1CNFRHM0488
BOULOGNE SUR MER,B MUNICIPAL,BARRA 1,TRAFO 1,BSM1CNFRHM0519
BOULOGNE SUR MER,B SAN MARTIN,BARRA 1,TRAFO 1,BSM1CNFRHM0532
BOULOGNE SUR MER,BARRIO FERROVIARIO,VIALIDAD,NA,VIA1CNFRMM0063
BOULOGNE SUR MER,CALLE ITALIA,VIALIDAD,NA,VIA1CNFRMM0396
BOULOGNE SUR MER,CEMENTISTA,VIALIDAD,NA,VIA1CNFRMM0110
BOULOGNE SUR MER,CERRO ARCO,BARRA 1,TRAFO 1,BSM1CNFRHM0520
BOULOGNE SUR MER,EOLO,BARRA 1,TRAFO 1,BSM1CNFRHM0521
BOULOGNE SUR MER,HOSPITAL LAGOMAGIORE,VIALIDAD,NA,VIA1CNFRMM0425
BOULOGNE SUR MER,HOSPITAL MILITAR,BARRA 1,TRAFO 1,BSM1CNFRHM0545
BOULOGNE SUR MER,INFANTA,BARRA 2,TRAFO 2,BSM1CNFRHM1070
BOULOGNE SUR MER,LOS CIRUELOS,VIALIDAD,NA,VIA1CNFRMM0395
BOULOGNE SUR MER,MAURE,BARRA 1,TRAFO 1,BSM1CNFRHM0546
BOULOGNE SUR MER,PELLEGRINI,VIALIDAD,NA,VIA1CNFRMM0408
BOULOGNE SUR MER,POLO JUDICIAL,BARRA 1,TRAFO 1,BSM1CNFRHM1220
BOULOGNE SUR MER,PROCREAR,BARRA 2,TRAFO 2,BSM1CNFRHM1164
BOULOGNE SUR MER,RECONQUISTA,VIALIDAD,NA,VIA1CNFRMM0111
BOULOGNE SUR MER,REGALADO OLGUIN,BARRA 1,TRAFO 1,BSM1CNFRHM0522
C.H. SAN MARTIN,CALISE,BARRA 1,TRAFO 1,HSM1CNFRJM0449
C.H. SAN MARTIN,CIENCIAS AGRARIAS,BARRA 1,TRAFO 1,HSM1CNFRJM0453
C.H. SAN MARTIN,GAS DEL ESTADO,BARRA 1,TRAFO 1,HSM1CNFRJM0447
C.H. SAN MARTIN,LUJAN DE C H SAN MARTIN,BARRA 1,TRAFO 1,HSM1CNFRJM0455
CANADA SECA,CUADRO BOMBAL,BARRA 1,TRAFO 2,CSE1CNFRZM0017
CANADA SECA,EL MONTE,BARRA 2,TRAFO 1,CSE1CNFRZM0871
CANADA SECA,EL TROPEZON,BARRA 2,TRAFO 1,CSE1CNFRZM0018
CANADA SECA,ESTANCIA LOS AMIGOS,BARRA 2,TRAFO 1,CSE1CNFRZM0833
CANADA SECA,LAS MALVINAS,BARRA 2,TRAFO 1,CSE1CNFRZM0870
CANADA SECA,LINEA ANCHA,BARRA 1,TRAFO 2,CSE1CNFRZM0015
CANADA SECA,SALTO DE LAS ROSAS,BARRA 1,TRAFO 2,CSE1CNFRZM0016
CAPDEVILLE,ALIM 1 CORCEMAR,BARRA 1,NA,CAP1CNFRHM0033
CAPDEVILLE,ALIM 2 CORCEMAR,BARRA 1,NA,CAP1CNFRHM0036
CAPDEVILLE,ALIM MINETTI,BARRA 1,NA,CAP1CNFRHM0031
CAPDEVILLE,"CORCEMAR 1 - 6,6 KV",BARRA 3,TRAFO 3-4,CAP1CNFRHM0303
CAPDEVILLE,"CORCEMAR 2 - 6,6 KV",BARRA 3,TRAFO 3-4,CAP1CNFRHM0304
CAPDEVILLE,HOLCIM,BARRA 1,TRAFO 1,CAP1CNFRHM0039
CAPDEVILLE,MIRAFLORES,BARRA 1,TRAFO 1,CAP1CNFRHM0015
CAPDEVILLE,RESERVA 1,BARRA 1,TRAFO 1,CAP1CNFRHM0028
CAPDEVILLE,RESERVA 2,BARRA 2,TRAFO 2,CAP1CNFRHM0037
CAPDEVILLE,RESGUARDO,BARRA 1,TRAFO 1,CAP1CNFRHM0038
CAPDEVILLE,VILLAVICENCIO,BARRA 2,TRAFO 2,CAP1CNFRHM0302
CAPDEVILLE,YAPEYU,BARRA 2,TRAFO 2,CAP1CNFRHM0040
CAPIZ,CHACON,BARRA 1,NA,REC1CNFRLM0540
CARBOMETAL,20 DE septiembre,BUSTAMANTE,NA,BUS1CNFRJM0771
CARBOMETAL,AGRELO,BUSTAMANTE,NA,BUS1CNFRJM0440
CARBOMETAL,ALIMENTADOR 1 A CD BUSTAMANTE,BARRA 3,TRAFO 3,CRB1CNFRJM0703
CARBOMETAL,ALIMENTADOR 1 A CD PLAZA ITALIA,BARRA 3,TRAFO 3,CRB1CNFRJM0403
CARBOMETAL,ALZAGA,BARRA 1,TRAFO 1,CRB1CNFRJM0905
CARBOMETAL,AZCUENAGA,BUSTAMANTE,NA,BUS1CNFRJM0443
CARBOMETAL,BOEDO,BARRA 1,TRAFO 1,CRB1CNFRJM0391
CARBOMETAL,CALVARIO,BARRA 2,TRAFO 2,CRB1CNFRJM0792
CARBOMETAL,CARRODILLA,BARRA 1,TRAFO 1,CRB1CNFRJM0392
CARBOMETAL,CENTRO,BUSTAMANTE,NA,BUS1CNFRJM0436
CARBOMETAL,CHACRAS DE CORIA CARBOMETAL,BARRA 2,TRAFO 2,CRB1CNFRJM0396
CARBOMETAL,CHACRAS DE CORIA PLAZA ITALIA,PLAZA ITALIA,NA,PLI1CNFRJM0471
CARBOMETAL,DRUMOND,BUSTAMANTE,NA,BUS1CNFRJM0442
CARBOMETAL,GENERAL ARENALES,BARRA 1,TRAFO 1,CRB1CNFRJM0406
CARBOMETAL,HUARPES,BARRA 2,TRAFO 2,CRB1CNFRJM0402
CARBOMETAL,INTA,BARRA 1,TRAFO 1,CRB1CNFRJM0397
CARBOMETAL,LA VACHERIE,BUSTAMANTE,NA,BUS1CNFRJM0503
CARBOMETAL,LUJAN,BUSTAMANTE,NA,BUS1CNFRJM0033
CARBOMETAL,MUTUAL YPF,BARRA 1,TRAFO 1,CRB1CNFRJM2221
CARBOMETAL,PALMARES,BARRA 2,TRAFO 2,CRB1CNFRJM0794
CARBOMETAL,PUEYRREDON,PLAZA ITALIA,NA,PLI1CNFRJM0445
CARBOMETAL,PUNTILLA,BARRA 2,TRAFO 2,CRB1CNFRJM0399
CARBOMETAL,ROCA,BUSTAMANTE,NA,BUS1CNFRJM0427
CARBOMETAL,SANTOS VEGA,PLAZA ITALIA,NA,PLI1CNFRJM0444
CARBOMETAL,VIAMONTE,PLAZA ITALIA,NA,PLI1CNFRJM6304
CARBOMETAL,WILL-RI,PLAZA ITALIA,NA,PLI1CNFRJM0446
CARRIZAL,CENTRAL CARRIZAL,BARRA 1,NA,REC1CNFRJM0742
